기능 대분류,기능 소분류,컨트롤러,"자바 코드 이름 (method, mapper name)",service 1   (request),service 2     (return),query statement analysis,
일정 알림,"기본 조회 (순번, 단말 ID, 이름, 주소, 일정 등록수) + 날짜 베이스",AisvcController,getGuideLatelyMsg,,,,
,"기본 검색(단말 ID, 이름, 주소)",,,,,,
, 기본 엑셀,,,,,,
,상세 조회,,,,,,
,상세 엑셀 변환,,,,,,
보호자 콜백,"기본 검색((순번), 단말 ID, 이름, 주소, 요청일시, 발송대상) + 날짜 베이스",AisvcController2,getParentCallbackInfoList,,,,
,"기본 검색(단말 ID, 이름, 주소)",,,,,,
, 기본 엑셀,,getParentCallbackInfoListExcel,,,,
,"상세 조회(날짜, 단말ID, 이름, 주소, 연락처, 발송대상) - 해당 단말 ID? 기준인듯, 이름은 동명이인이 있을 수 있음",,getParentCallbackInfoDetailList,,,,
,상세 엑셀 변환,,getParentCallbackInfoDetailListExcel,,,,
퀴즈이용횟수,"기본 검색((순번), 단말 ID, 이름, 주소, 게임 일시, 구구단연습, 스피드연산, 수도맞히기, 단어연상) + 날짜 베이스",AisvcController2,getQuizList,,,,
,"기본 검색(단말 ID, 이름, 주소)",AisvcController2,,,,,
, 기본 엑셀,AisvcController2,getQuizListExcel,,,,
,"상세 조회(날짜, 단말ID, 이름, 주소, 연락처, 발송대상) - 해당 단말 ID? 기준인듯, 이름은 동명이인이 있을 수 있음",,,,,,
,상세 엑셀 변환,,,,,,
교통정보,"기본 검색((순번), 단말 ID, 이름, 주소, 요청건수, 버스정보) + 날짜 베이스",,getTrafficInfoList,,,,
,"기본 검색(단말 ID, 이름, 주소)",,,,,,
, 기본 엑셀,,getTrafficInfoListExcel,,,,
,"상세 조회(날짜, 단말ID, 이름, 주소, 연락처, 발송대상) - 해당 단말 ID? 기준인듯, 이름은 동명이인이 있을 수 있음",,getTrafficInfoDetailList,,,,
,상세 엑셀 변환,,getTrafficInfoDetailListExcel,,,,
안내방송,"안내방송(예약) 현황(최근 안내 방송메시지, 내용, 일시, 발송인",AisvcController3,getGuideMessageInfo/ getGuideMessageUserList,,,,
,"기본 정보 조회(순번, 단말ID, 주소, 최근안내방송일시, 발송결과, 응답여부, 최근 안내방송 메시지, 발송인 + 날짜 베이스",,,,,,
,"기본 검색(단말 ID, 이름, 주소)",,,,,,
,"등록 (예약하기 기능) -> 메시지 입력, 이전 발송 메시지 보기 기능 탑재",,,,,,
, 기본 엑셀,,,,,,
,"상세 조회(날짜, 단말ID, 이름, 주소, 연락처, 발송대상) - 해당 단말 ID? 기준인듯, 이름은 동명이인이 있을 수 있음",,,,,,
,상세 엑셀 변환,,,,,,
